time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449700000	17.1153	18.9264	4.70035	2.46051	0.534119	lidar	0.316903	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9481	19.0964	4.70791	2.47325	0.515392	radar	3.14432	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7307	19.2121	4.71067	2.51317	0.528779	lidar	2.65142	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5408	19.3657	4.72825	2.53599	0.526904	radar	3.23828	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.315	19.5266	4.79287	2.562	0.525712	lidar	0.880447	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0929	19.6112	4.77431	2.60935	0.553048	radar	9.99512	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8871	19.755	4.79832	2.62995	0.546038	lidar	0.785793	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6985	19.8782	4.76837	2.63853	0.512552	radar	3.34158	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4669	20.0307	4.83287	2.65734	0.505139	lidar	1.39507	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2556	20.1726	4.85433	2.6691	0.486952	radar	5.80371	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0662	20.303	4.83931	2.68181	0.476175	lidar	1.9364	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8364	20.387	4.83873	2.71638	0.489971	radar	2.02485	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6203	20.5055	4.85005	2.73369	0.483047	lidar	0.678877	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3837	20.594	4.86897	2.76675	0.498641	radar	1.21104	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1374	20.6685	4.88476	2.79817	0.504551	lidar	0.692372	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9002	20.7409	4.89453	2.83119	0.518471	radar	0.369878	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6264	20.8056	4.94378	2.86486	0.525099	lidar	1.69697	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3772	20.8386	4.95436	2.91355	0.562071	radar	2.56356	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1319	20.8809	4.95222	2.94531	0.565556	lidar	0.171928	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8988	20.939	4.9457	2.96808	0.560291	radar	1.74464	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7001	20.9831	4.88398	2.99017	0.555815	lidar	1.94797	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4462	21.0239	4.90977	3.01857	0.558788	radar	2.58386	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2003	21.0616	4.91818	3.04303	0.555308	lidar	0.1285	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9604	21.0818	4.91776	3.07391	0.562929	radar	1.01313	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7185	21.0538	4.89472	3.11582	0.576553	lidar	1.98314	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4698	21.0408	4.89751	3.15145	0.584754	radar	1.13149	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2553	21.0344	4.85277	3.17987	0.584944	lidar	0.711784	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9992	20.9966	4.86909	3.21935	0.59619	radar	4.21453	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7903	20.9589	4.81533	3.25425	0.602346	lidar	0.659298	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5433	20.9553	4.8028	3.2653	0.570146	radar	5.36794	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2638	20.9809	4.87564	3.2723	0.547466	lidar	3.29278	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0256	20.9618	4.8697	3.29275	0.538971	radar	1.01601	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
